"","Country Code","Year","Count"
"594","AUT",1995,7948278
"595","AUT",1996,7959017
"596","AUT",1981,7568710
"597","AUT",1969,7441055
"598","AUT",2003,8121423
"599","AUT",1998,7976789
"600","AUT",1987,7574586
"601","AUT",1963,7175811
"602","AUT",1985,7564985
"603","AUT",1989,7619567
"604","AUT",1967,7376998
"605","AUT",1964,7223801
"606","AUT",1988,7585317
"607","AUT",1991,7754891
"608","AUT",2000,8011566
"609","AUT",1993,7905633
"610","AUT",1960,7047539
"611","AUT",1983,7561910
"612","AUT",1992,7840709
"613","AUT",1977,7568430
"614","AUT",1999,7992324
"615","AUT",1997,7968041
"616","AUT",1968,7415403
"617","AUT",2001,8042293
"618","AUT",2002,8081957
"619","AUT",1966,7322066
"620","AUT",2005,8227829
"621","AUT",1965,7270889
"622","AUT",1973,7586115
"623","AUT",2017,8797566
"624","AUT",2007,8295487
"625","AUT",1970,7467086
"626","AUT",2015,8642699
"627","AUT",1961,7086299
"628","AUT",1994,7936118
"629","AUT",1972,7544201
"630","AUT",1974,7599038
"631","AUT",2014,8546356
"632","AUT",2012,8429991
"633","AUT",1984,7561434
"634","AUT",2009,8343323
"635","AUT",2010,8363404
"636","AUT",1986,7569794
"637","AUT",2004,8171966
"638","AUT",1976,7565525
"639","AZE",2015,9649341
"640","AZE",1978,5957925
"641","AZE",2005,8391850
"642","AZE",2016,9757812
"643","AZE",1996,7763000
"644","AZE",2007,8581300
"645","AZE",1960,3895397
"646","AZE",1979,6053640
"647","AZE",1987,6893489
"648","AZE",2001,8111200
"649","AZE",1963,4315127
"650","AZE",1980,6150733
"651","AZE",2008,8763400
"652","AZE",1990,7159000
"653","AZE",2017,9854033
"654","AZE",2011,9173082
"655","AZE",1966,4721523
"656","AZE",1993,7495000
"657","AZE",1971,5284531
"658","AZE",1998,7913000
"659","AZE",1989,7126881
"660","AZE",1999,7982750
"661","AZE",2009,8947243
"662","AZE",2006,8484550
"663","AZE",1995,7685000
"664","AZE",1964,4456687
"665","AZE",1982,6349553
"666","AZE",1975,5674133
"667","AZE",2012,9295784
"668","AZE",2002,8171950
"669","AZE",1986,6778624
"670","AZE",1968,4960232
"671","AZE",1994,7597000
"672","AZE",1967,4843868
"673","AZE",1976,5768721
"674","AZE",1981,6249314
"675","AZE",1984,6557581
"676","AZE",2000,8048600
"677","AZE",2010,9054332
"678","AZE",1992,7382000
"679","AZE",1974,5579072
"680","AZE",1977,5863132
"681","AZE",2004,8306500
"682","AZE",1965,4592609
"683","AZE",1985,6666447
"684","AZE",1991,7271000
"685","AZE",1961,4030322
"686","AZE",2014,9535079
"687","AZE",1969,5071927
"688","AZE",2003,8234100
"689","AZE",1972,5385263
"690","AZE",2013,9416801
"691","AZE",1973,5483082
"692","AZE",1988,7010027
"693","AZE",1983,6452069
"694","AZE",1970,5180023
"695","AZE",1997,7838250
"696","AZE",1962,4171426
"697","BHR",1969,206043
"698","BHR",1975,266543
"699","BHR",1972,229155
"700","BHR",1996,578666
"701","BHR",1973,239527
"702","BHR",1982,385950
"703","BHR",1968,200653
"704","BHR",2006,958418
"705","BHR",2015,1371851
"706","BHR",2000,664611
"707","BHR",1991,509760
"708","BHR",1970,212605
"709","BHR",2005,889164
"710","BHR",1979,342799
"711","BHR",1965,187431
"712","BHR",1963,178140
"713","BHR",1971,220312
"714","BHR",2016,1425791
"715","BHR",2010,1240860
"716","BHR",2013,1315029
"717","BHR",1962,173144
"718","BHR",1976,283752
"719","BHR",1986,433480
"720","BHR",2011,1278151
"721","BHR",1964,182887
"722","BHR",1987,448971
"723","BHR",1981,374120
"724","BHR",1984,407225
"725","BHR",1983,396454
"726","BHR",2012,1299943
"727","BHR",1992,523086
"728","BHR",1990,495931
"729","BHR",2004,829844
"730","BHR",1980,359888
"731","BHR",1998,613700
"732","BHR",2009,1185076
"733","BHR",2001,697545
"734","BHR",1974,251911
"735","BHR",1988,465198
"736","BHR",1995,563697
"737","BHR",2017,1494074
"738","BHR",1977,303175
"739","BHR",1997,594931
"740","BHR",2007,1035919
"741","BHR",1961,167894
"742","BHR",2003,778708
"743","BHR",1960,162427
"744","BHR",1994,549583
"745","BHR",2014,1336075
"746","BHR",1989,481087
"747","BHR",1999,636541
"748","BHR",2002,735146
"749","BHR",1966,191780
"750","BHR",2008,1114641
"751","BHR",1993,536210
"752","BHR",1967,196063
"753","BHR",1985,419428
"754","BHR",1978,323473
"755","BGD",1967,59034249
"756","BGD",2012,151007807
"757","BGD",2016,157970840
"758","BGD",1997,120160564
"759","BGD",1966,57157654
"760","BGD",1965,55385112
"761","BGD",1973,67637530
"762","BGD",1962,50752157
"763","BGD",2017,159670593
"764","BGD",2005,139035505
"765","BGD",1968,60918454
"766","BGD",2000,127657854
"767","BGD",1964,53741716
"768","BGD",1974,68742233
"769","BGD",1987,95671163
"770","BGD",1961,49362843
"771","BGD",1983,86142495
"772","BGD",1995,115169930
"773","BGD",1992,107983704
"774","BGD",2006,140921167
"775","BGD",1996,117649932
"776","BGD",2001,130088702
"777","BGD",1963,52202007
"778","BGD",1993,110350639
"779","BGD",1994,112737683
"780","BGD",2010,147575430
"781","BGD",2007,142660376
"782","BGD",1985,90764183
"783","BGD",1975,70066301
"784","BGD",1980,79639491
"785","BGD",1989,100695497
"786","BGD",1976,71652381
"787","BGD",1998,122682815
"788","BGD",1960,48013504
"789","BGD",2011,149273778
"790","BGD",1971,65531633
"791","BGD",1981,81767515
"792","BGD",1970,64232482
"793","BGD",2014,154520167
"794","BGD",2002,132478086
"795","BGD",1986,93187603
"796","BGD",1991,105599127
"797","BGD",1979,77529045
"798","BGD",1969,62679765
"799","BGD",1999,125189651
"800","BGD",2013,152764676
"801","BGD",2003,134791603
"802","BGD",2004,136986432
"803","BGD",1990,103171956
"804","BGD",1988,98186350
"805","BGD",1982,83932127
"806","BGD",2009,145924797
"807","BGD",1978,75450032
"808","BGD",1977,73463584
"809","BGD",1984,88416521
