"","Country Code","year","value"
"535","AUS","1964",1.96235442
"536","AUT","1964",0.666548205
"537","AZE","1964",3.227890857
"538","BDI","1964",2.065368773
"539","BEL","1964",0.946477536
"540","BEN","1964",1.680970726
"541","BFA","1964",1.403617953
"542","BGD","1964",2.906859177
"543","BGR","1964",0.81609405
"544","BHR","1964",2.629871778
"545","BIH","1964",1.781309122
"546","BLR","1964",1.02576999
"547","BLZ","1964",2.85898242
"548","BMU","1964",2.51572327
"549","BOL","1964",2.005056613
"550","BRA","1964",2.868006568
"551","BRB","1964",0.408359103
"552","BTN","1964",2.642685795
"553","BWA","1964",2.249720652
"554","CAF","1964",1.834814863
"555","CAN","1964",1.885714943
"556","CHE","1964",1.654258245
"557","CHL","1964",1.96284456
"558","CHN","1964",2.320682987
"559","CMR","1964",2.238789553
"560","COL","1964",3.045656369
"561","COM","1964",1.673283705
"562","CRI","1964",3.528408696
"563","CUB","1964",2.205095446
"564","CYM","1964",0.859309372
"565","CYP","1964",0.123126104
"566","DEU","1964",0.805140883
"567","DJI","1964",6.683209372
"568","DMA","1964",1.58938731
"569","DNK","1964",0.799212891
"570","DOM","1964",3.219185923
"571","DZA","1964",2.55973106
"572","ECU","1964",2.885200787
"573","ERI","1964",2.655781586
"574","ESP","1964",0.993696426
"575","EST","1964",1.437675372
"576","ETH","1964",2.484146356
"577","FIN","1964",0.556315625
"578","FJI","1964",3.213726645
"579","FRA","1964",1.32496113
"580","GAB","1964",1.403414003
"581","GBR","1964",0.650257749
"582","GEO","1964",1.410306472
"583","GHA","1964",3.027040362
"584","GIB","1964",2.342864467
"585","GIN","1964",1.710515876
"586","GNB","1964",1.065310434
"587","GNQ","1964",1.721192359
"588","GRC","1964",0.362612547
"589","GRD","1964",0.757191571
"590","GRL","1964",3.243527575
"591","GTM","1964",2.893360487
"592","GUM","1964",2.445787265
"593","GUY","1964",2.423120411
"594","HND","1964",2.817508741
"595","HRV","1964",0.641644859
"596","HTI","1964",1.930651291
"597","HUN","1964",0.31560145
"598","IDN","1964",2.680611981
"599","IND","1964",2.071542291
"600","IRL","1964",0.486082927
"601","IRQ","1964",2.914232804
"602","ISL","1964",1.777772399
"603","ISR","1964",3.95601647
"604","ITA","1964",0.8226237
"605","JAM","1964",1.577431192
"606","JOR","1964",4.849571343
"607","JPN","1964",1.041943684
"608","KAZ","1964",3.212921749
"609","KEN","1964",3.241732926
"610","KHM","1964",2.363108127
"611","KIR","1964",2.36479812
"612","KWT","1964",11.26270645
"613","LBN","1964",2.793265952
"614","LBR","1964",2.166243773
"615","LBY","1964",3.704489181
"616","LKA","1964",2.354361361
"617","LSO","1964",1.978587526
"618","LTU","1964",1.242699159
"619","LUX","1964",1.11990125
"620","LVA","1964",1.3345686
"621","MAR","1964",2.774724404
"622","MDA","1964",1.965814132
"623","MDG","1964",2.499256438
"624","MDV","1964",2.650340743
"625","MEX","1964",3.10759051
"626","MKD","1964",1.392055828
"627","MLI","1964",1.135451721
"628","MLT","1964",-0.403852677
"629","MNE","1964",1.612149735
"630","MNG","1964",3.035902815
"631","MNP","1964",1.806066029
"632","MOZ","1964",2.286911896
"633","MRT","1964",2.977096962
"634","MUS","1964",2.407963286
"635","MWI","1964",2.47212066
"636","MYS","1964",3.073093317
"637","NAM","1964",2.486159607
"638","NCL","1964",2.761970734
"639","NER","1964",2.903395882
"640","NGA","1964",2.129491917
"641","NIC","1964",3.048621826
"642","NLD","1964",1.337781332
"643","NOR","1964",0.755402814
"644","NPL","1964",1.677064456
"645","NRU","1964",5.835832557
"646","NZL","1964",2.094972265
"647","OMN","1964",2.559203138
"648","PAK","1964",2.531019077
"649","PAN","1964",2.977454542
"650","PER","1964",2.861085089
"651","PHL","1964",3.208828589
"652","PNG","1964",2.00319177
"653","POL","1964",1.382204638
"654","PRI","1964",1.958550691
"655","PRT","1964",0.055464162
"656","PRY","1964",2.645232931
"657","PYF","1964",3.720497357
"658","QAT","1964",9.056168136
"659","ROU","1964",0.643086646
"660","RWA","1964",1.877151916
"661","SAU","1964",3.497592865
"662","SDN","1964",3.046674551
"663","SEN","1964",2.792208973
"664","SGP","1964",2.562973705
"665","SLB","1964",2.997965322
"666","SLE","1964",1.627084215
"667","SLV","1964",2.948235712
"668","SOM","1964",2.178765069
"669","SSD","1964",1.996413941
"670","STP","1964",0.071590877
"671","SUR","1964",2.632813268
"672","SVN","1964",0.932146106
"673","SWE","1964",0.747117165
"674","SWZ","1964",2.167816968
"675","SYC","1964",2.505103785
"676","TCA","1964",-0.375491139
"677","TCD","1964",1.958074066
"678","TGO","1964",1.840398021
"679","THA","1964",3.005330556
"680","TJK","1964",3.568856048
"681","TKM","1964",3.283486682
"682","TON","1964",3.923130687
"683","TTO","1964",1.189053979
"684","TUN","1964",1.833426125
"685","TUR","1964",2.38535286
"686","TZA","1964",2.942071917
"687","UGA","1964",3.392387004
"688","UKR","1964",1.141288104
"689","URY","1964",1.141863933
"690","USA","1964",1.389046055
"691","UZB","1964",3.480080621
"692","VGB","1964",1.985814584
"693","VNM","1964",2.920936601
"694","VUT","1964",3.053855126
"695","WLD","1964",2.052951432
"696","WSM","1964",3.115101139
"697","XKX","1964",2.702867239
"698","ZAF","1964",2.535788309
"699","ZMB","1964",3.022484502
"700","ZWE","1964",3.391103618
"701","ABW","1965",0.573468248
"702","AFG","1965",2.147566577
"703","AGO","1965",0.617543973
"704","ALB","1965",2.754021238
"705","ARE","1965",8.214525213
"706","ARG","1965",1.524331209
"707","ARM","1965",3.044915149
"708","ASM","1965",3.516675837
"709","ATG","1965",1.817153466
"710","AUS","1965",1.959716895
"711","AUT","1965",0.649729876
"712","AZE","1965",3.004260729
"713","BDI","1965",2.224979294
"714","BEL","1965",0.908137002
"715","BEN","1965",1.778051683
"716","BFA","1965",1.479134908
"717","BGD","1965",3.012128698
"718","BGR","1965",0.731911035
"719","BHR","1965",2.45423019
"720","BIH","1965",1.615114429
"721","BLR","1965",1.001232581
"722","BLZ","1965",2.916243907
"723","BMU","1965",2.45398773
"724","BOL","1965",2.028799441
"725","BRA","1965",2.808486296
"726","BRB","1965",0.351916006
"727","BTN","1965",2.806806767
"728","BWA","1965",2.188256112
"729","CAF","1965",1.91427755
"730","CAN","1965",1.810166597
"731","CHE","1965",1.154842514
"732","CHL","1965",1.883818421
"733","CHN","1965",2.381368103
"734","CMR","1965",2.286371165
"735","COL","1965",2.981514099
"736","COM","1965",1.785653158
"737","CRI","1965",3.377511027
"738","CUB","1965",2.093943406
"739","CYM","1965",0.851988114
"740","CYP","1965",0.403763599
"741","DEU","1965",0.853190437
"742","DJI","1965",6.634769478
"743","DMA","1965",1.724555007
"744","DNK","1965",0.779239735
"745","DOM","1965",3.160305635
"746","DZA","1965",2.658016629
"747","ECU","1965",2.904546495
"748","ERI","1965",2.650233563
"749","ESP","1965",1.085844742
"750","EST","1965",1.359458372
"751","ETH","1965",2.495964072
"752","FIN","1965",0.333374795
"753","FJI","1965",2.936428188
"754","FRA","1965",1.186164673
"755","GAB","1965",1.600025063
"756","GBR","1965",0.642468779
"757","GEO","1965",1.316771037
"758","GHA","1965",2.817295537
"759","GIB","1965",2.304571266
"760","GIN","1965",1.745661414
"761","GNB","1965",1.235380785
"762","GNQ","1965",2.077899956
"763","GRC","1965",0.467787696
"764","GRD","1965",0.54355158
"765","GRL","1965",4.16726964
"766","GTM","1965",2.850493537
"767","GUM","1965",2.406104674
"768","GUY","1965",2.174678032
"769","HND","1965",2.85216487
"770","HRV","1965",0.657318059
"771","HTI","1965",1.922568771
"772","HUN","1965",0.277287713
"773","IDN","1965",2.699322672
"774","IND","1965",2.080132863
"775","IRL","1965",0.374313833
"776","IRQ","1965",3.074471754
"777","ISL","1965",1.732678311
"778","ISR","1965",3.493805136
"779","ITA","1965",0.842108617
"780","JAM","1965",1.478154802
"781","JOR","1965",6.259234614
"782","JPN","1965",1.074694267
"783","KAZ","1965",2.826909945
"784","KEN","1965",3.279590178
"785","KHM","1965",2.121366443
"786","KIR","1965",2.243418563
"787","KWT","1965",10.75645121
"788","LBN","1965",2.4747707
"789","LBR","1965",2.208856908
"790","LBY","1965",3.85101852
"791","LKA","1965",2.375663247
"792","LSO","1965",2.030989782
"793","LTU","1965",1.227445511
"794","LUX","1965",1.137668698
"795","LVA","1965",1.122646396
"796","MAR","1965",2.652651216
"797","MDA","1965",1.821818583
"798","MDG","1965",2.528643952
"799","MDV","1965",2.510864374
"800","MEX","1965",3.11383707
"801","MKD","1965",1.47340622
"802","MLI","1965",1.169280307
"803","MLT","1965",-0.765568929
"804","MNE","1965",0.872839676
"805","MNG","1965",2.989719558
"806","MNP","1965",2.192245556
"807","MOZ","1965",2.29133509
"808","MRT","1965",2.99717345
"809","MUS","1965",2.231757997
"810","MWI","1965",2.500218702
"811","MYS","1965",2.904466055
"812","NAM","1965",2.513662282
"813","NCL","1965",2.687731776
"814","NER","1965",2.885133483
"815","NGA","1965",2.139633844
"816","NIC","1965",3.03837342
"817","NLD","1965",1.372661105
"818","NOR","1965",0.777327077
"819","NPL","1965",1.736919622
"820","NRU","1965",4.612977173
"821","NZL","1965",1.649506117
"822","OMN","1965",2.613006455
"823","PAK","1965",2.56684106
"824","PAN","1965",2.960145241
"825","PER","1965",2.840826133
"826","PHL","1965",3.126000195
"827","PNG","1965",2.082089012
"828","POL","1965",0.976289384
"829","PRI","1965",1.55144868
"830","PRT","1965",-0.407786764
"831","PRY","1965",2.646641445
"832","PYF","1965",3.594519139
"833","QAT","1965",8.598839687
"834","ROU","1965",0.592612643
"835","RWA","1965",2.22728876
"836","SAU","1965",3.494487913
"837","SDN","1965",3.081193127
"838","SEN","1965",2.826441073
"839","SGP","1965",2.430051183
"840","SLB","1965",3.010150298
"841","SLE","1965",1.670509286
"842","SLV","1965",2.90788363
"843","SOM","1965",2.217726699
"844","SSD","1965",2.044634656
"845","STP","1965",0.952248058
