"","Country Code","year","value"
"766","AUS","1968",32665472057.3412
"767","AUT","1968",12440625312.8685
"768","BDI","1968",183200000
"769","BEL","1968",21376353113.475
"770","BEN","1968",326323097.355964
"771","BFA","1968",460442864.205949
"772","BGD","1968",7483685473.51275
"773","BLZ","1968",44910179.6407186
"774","BMU","1968",1.5e+08
"775","BOL","1968",857912457.912458
"776","BRA","1968",33875881876.3672
"777","BWA","1968",66248256.6248257
"778","CAF","1968",191767436.956884
"779","CAN","1968",71829810519.8955
"780","CHE","1968",18942729779.1
"781","CHL","1968",7167086956.52174
"782","CHN","1968",70846535055.6503
"783","CMR","1968",1053077155.17925
"784","COL","1968",5960212869.12968
"785","CRI","1968",773841494.339623
"786","DNK","1968",13505573866.6667
"787","DOM","1968",1079100000
"788","DZA","1968",3852115816.97758
"789","ECU","1968",2582180794.1855
"790","ESP","1968",31475548481.4095
"791","FIN","1968",8823033880.32993
"792","FJI","1968",166952937.135005
"793","FRA","1968",129785441507.456
"794","GAB","1968",294468564.534311
"795","GBR","1968",107759910067.889
"796","GHA","1968",1666910166.289
"797","GNQ","1968",67514285.7142857
"798","GRC","1968",10090675902.5364
"799","GTM","1968",1610500000
"800","GUY","1968",229750000
"801","HND","1968",646800000
"802","HTI","1968",367968800
"803","IDN","1968",7076465295.33327
"804","IND","1968",53085455870.8227
"805","IRL","1968",3278584478.33023
"806","IRQ","1968",2896947633.71605
"807","ISL","1968",474399471.622359
"808","ISR","1968",4.619e+09
"809","ITA","1968",87942231678.3505
"810","JAM","1968",1083883355.33421
